tm,MVm,PVm
2.510000000000000000e+02,1.000000000000000000e+00,4.181249999999998579e-01
2.520000000000000000e+02,1.000000000000000000e+00,4.189249999999994367e-01
2.530000000000000000e+02,1.000000000000000000e+00,4.189249999999994367e-01
2.540000000000000000e+02,1.000000000000000000e+00,4.189249999999994367e-01
2.550000000000000000e+02,1.000000000000000000e+00,4.189249999999994367e-01
2.560000000000000000e+02,1.000000000000000000e+00,4.189249999999994367e-01
2.570000000000000000e+02,1.000000000000000000e+00,4.189249999999994367e-01
2.580000000000000000e+02,1.000000000000000000e+00,4.189249999999994367e-01
2.590000000000000000e+02,1.000000000000000000e+00,4.189249999999994367e-01
2.600000000000000000e+02,1.000000000000000000e+00,4.197499999999994569e-01
2.610000000000000000e+02,1.000000000000000000e+00,4.197499999999994569e-01
2.620000000000000000e+02,1.000000000000000000e+00,4.229749999999999344e-01
2.630000000000000000e+02,1.000000000000000000e+00,4.245749999999993696e-01
2.640000000000000000e+02,1.000000000000000000e+00,4.253750000000000031e-01
2.650000000000000000e+02,1.000000000000000000e+00,4.237749999999998463e-01
2.660000000000000000e+02,1.000000000000000000e+00,4.269999999999999352e-01
2.670000000000000000e+02,1.000000000000000000e+00,4.269999999999999352e-01
2.680000000000000000e+02,1.000000000000000000e+00,4.269999999999999352e-01
2.690000000000000000e+02,1.000000000000000000e+00,4.269999999999999352e-01
2.700000000000000000e+02,1.000000000000000000e+00,4.269999999999999352e-01
2.710000000000000000e+02,1.000000000000000000e+00,4.277999999999998471e-01
2.720000000000000000e+02,1.000000000000000000e+00,4.293999999999993378e-01
2.730000000000000000e+02,1.000000000000000000e+00,4.334499999999998354e-01
2.740000000000000000e+02,1.000000000000000000e+00,4.342499999999994142e-01
2.750000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.760000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.770000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.780000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.790000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.800000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.810000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.820000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.830000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.840000000000000000e+02,1.000000000000000000e+00,4.358499999999999597e-01
2.850000000000000000e+02,1.000000000000000000e+00,4.358499999999999597e-01
2.860000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.870000000000000000e+02,1.000000000000000000e+00,4.374749999999998917e-01
2.880000000000000000e+02,1.000000000000000000e+00,4.414999999999998925e-01
2.890000000000000000e+02,1.000000000000000000e+00,4.422999999999998044e-01
2.900000000000000000e+02,1.000000000000000000e+00,4.430999999999993832e-01
2.910000000000000000e+02,1.000000000000000000e+00,4.430999999999993832e-01
2.920000000000000000e+02,1.000000000000000000e+00,4.430999999999993832e-01
2.930000000000000000e+02,1.000000000000000000e+00,4.430999999999993832e-01
2.940000000000000000e+02,1.000000000000000000e+00,4.430999999999993832e-01
