t,MV,PV,DV
1.380000000000000000e+02,5.000000000000000000e+01,7.665000000000000568e+01,7.000000000000000000e+01
1.390000000000000000e+02,5.000000000000000000e+01,7.665000000000000568e+01,7.000000000000000000e+01
1.400000000000000000e+02,5.000000000000000000e+01,7.668300000000000693e+01,7.000000000000000000e+01
1.410000000000000000e+02,5.000000000000000000e+01,7.674699999999999989e+01,7.000000000000000000e+01
1.420000000000000000e+02,5.000000000000000000e+01,7.681199999999999761e+01,7.000000000000000000e+01
1.430000000000000000e+02,5.000000000000000000e+01,7.677899999999999636e+01,7.000000000000000000e+01
1.440000000000000000e+02,5.000000000000000000e+01,7.687600000000000477e+01,7.000000000000000000e+01
1.450000000000000000e+02,5.000000000000000000e+01,7.697299999999999898e+01,7.000000000000000000e+01
1.460000000000000000e+02,5.000000000000000000e+01,7.697299999999999898e+01,7.000000000000000000e+01
1.470000000000000000e+02,5.000000000000000000e+01,7.697299999999999898e+01,7.000000000000000000e+01
1.480000000000000000e+02,5.000000000000000000e+01,7.713400000000000034e+01,7.000000000000000000e+01
1.490000000000000000e+02,5.000000000000000000e+01,7.723000000000000398e+01,7.000000000000000000e+01
1.500000000000000000e+02,5.000000000000000000e+01,7.729500000000000171e+01,7.000000000000000000e+01
1.510000000000000000e+02,5.000000000000000000e+01,7.729500000000000171e+01,7.000000000000000000e+01
1.520000000000000000e+02,5.000000000000000000e+01,7.732699999999999818e+01,7.000000000000000000e+01
1.530000000000000000e+02,5.000000000000000000e+01,7.742400000000000659e+01,7.000000000000000000e+01
1.540000000000000000e+02,5.000000000000000000e+01,7.761700000000000443e+01,7.000000000000000000e+01
1.550000000000000000e+02,5.000000000000000000e+01,7.761700000000000443e+01,7.000000000000000000e+01
1.560000000000000000e+02,5.000000000000000000e+01,7.764900000000000091e+01,7.000000000000000000e+01
1.570000000000000000e+02,5.000000000000000000e+01,7.771399999999999864e+01,7.000000000000000000e+01
1.580000000000000000e+02,5.000000000000000000e+01,7.787500000000000000e+01,7.000000000000000000e+01
1.590000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.600000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.610000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.620000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.630000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.640000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.650000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.660000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.670000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.680000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.690000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.700000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.710000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.720000000000000000e+02,5.000000000000000000e+01,7.793899999999999295e+01,7.000000000000000000e+01
1.730000000000000000e+02,5.000000000000000000e+01,7.797199999999999420e+01,7.000000000000000000e+01
1.740000000000000000e+02,5.000000000000000000e+01,7.806799999999999784e+01,7.000000000000000000e+01
1.750000000000000000e+02,5.000000000000000000e+01,7.822899999999999920e+01,7.000000000000000000e+01
1.760000000000000000e+02,5.000000000000000000e+01,7.826200000000000045e+01,7.000000000000000000e+01
1.770000000000000000e+02,5.000000000000000000e+01,7.826200000000000045e+01,7.000000000000000000e+01
1.780000000000000000e+02,5.000000000000000000e+01,7.826200000000000045e+01,7.000000000000000000e+01
1.790000000000000000e+02,5.000000000000000000e+01,7.839100000000000534e+01,7.000000000000000000e+01
1.800000000000000000e+02,5.000000000000000000e+01,7.855200000000000671e+01,7.000000000000000000e+01
1.810000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,7.000000000000000000e+01
1.820000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,7.000000000000000000e+01
1.830000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,7.000000000000000000e+01
1.840000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,7.000000000000000000e+01
1.850000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,7.000000000000000000e+01
1.860000000000000000e+02,5.000000000000000000e+01,7.884199999999999875e+01,7.000000000000000000e+01
1.870000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,7.000000000000000000e+01
1.880000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,7.000000000000000000e+01
1.890000000000000000e+02,5.000000000000000000e+01,7.893800000000000239e+01,7.000000000000000000e+01
1.900000000000000000e+02,5.000000000000000000e+01,7.909999999999999432e+01,7.000000000000000000e+01
1.910000000000000000e+02,5.000000000000000000e+01,7.919599999999999795e+01,7.000000000000000000e+01
1.920000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
1.930000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
1.940000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
1.950000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
1.960000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
1.970000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
1.980000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
1.990000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
2.000000000000000000e+02,5.000000000000000000e+01,7.922899999999999920e+01,7.000000000000000000e+01
2.010000000000000000e+02,5.000000000000000000e+01,7.932500000000000284e+01,7.000000000000000000e+01
2.020000000000000000e+02,5.000000000000000000e+01,7.955100000000000193e+01,7.000000000000000000e+01
2.030000000000000000e+02,5.000000000000000000e+01,7.955100000000000193e+01,7.000000000000000000e+01
2.040000000000000000e+02,5.000000000000000000e+01,7.955100000000000193e+01,7.000000000000000000e+01
2.050000000000000000e+02,5.000000000000000000e+01,7.964700000000000557e+01,7.000000000000000000e+01
2.060000000000000000e+02,5.000000000000000000e+01,7.987300000000000466e+01,7.000000000000000000e+01
2.070000000000000000e+02,5.000000000000000000e+01,7.987300000000000466e+01,7.000000000000000000e+01
2.080000000000000000e+02,5.000000000000000000e+01,7.987300000000000466e+01,7.000000000000000000e+01
2.090000000000000000e+02,5.000000000000000000e+01,7.987300000000000466e+01,7.000000000000000000e+01
2.100000000000000000e+02,5.000000000000000000e+01,7.990500000000000114e+01,7.000000000000000000e+01
2.110000000000000000e+02,5.000000000000000000e+01,7.990500000000000114e+01,7.000000000000000000e+01
2.120000000000000000e+02,5.000000000000000000e+01,8.006600000000000250e+01,7.000000000000000000e+01
2.130000000000000000e+02,5.000000000000000000e+01,8.019499999999999318e+01,7.000000000000000000e+01
2.140000000000000000e+02,5.000000000000000000e+01,8.019499999999999318e+01,7.000000000000000000e+01
2.150000000000000000e+02,5.000000000000000000e+01,8.022799999999999443e+01,7.000000000000000000e+01
2.160000000000000000e+02,5.000000000000000000e+01,8.022799999999999443e+01,7.000000000000000000e+01
2.170000000000000000e+02,5.000000000000000000e+01,8.048499999999999943e+01,7.000000000000000000e+01
2.180000000000000000e+02,5.000000000000000000e+01,8.051800000000000068e+01,7.000000000000000000e+01
2.190000000000000000e+02,5.000000000000000000e+01,8.051800000000000068e+01,7.000000000000000000e+01
2.200000000000000000e+02,5.000000000000000000e+01,8.058199999999999363e+01,7.000000000000000000e+01
2.210000000000000000e+02,5.000000000000000000e+01,8.084000000000000341e+01,7.000000000000000000e+01
2.220000000000000000e+02,5.000000000000000000e+01,8.084000000000000341e+01,7.000000000000000000e+01
2.230000000000000000e+02,5.000000000000000000e+01,8.090399999999999636e+01,7.000000000000000000e+01
2.240000000000000000e+02,5.000000000000000000e+01,8.116200000000000614e+01,7.000000000000000000e+01
2.250000000000000000e+02,5.000000000000000000e+01,8.116200000000000614e+01,7.000000000000000000e+01
2.260000000000000000e+02,5.000000000000000000e+01,8.116200000000000614e+01,7.000000000000000000e+01
2.270000000000000000e+02,5.000000000000000000e+01,8.138800000000000523e+01,7.000000000000000000e+01
2.280000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.290000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.300000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.310000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.320000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.330000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.340000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.350000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.360000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.370000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.380000000000000000e+02,5.000000000000000000e+01,8.145199999999999818e+01,7.000000000000000000e+01
2.390000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.400000000000000000e+02,5.000000000000000000e+01,8.142000000000000171e+01,7.000000000000000000e+01
2.410000000000000000e+02,5.000000000000000000e+01,8.145199999999999818e+01,7.000000000000000000e+01
2.420000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.430000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.440000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.450000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.460000000000000000e+02,5.000000000000000000e+01,8.148399999999999466e+01,7.000000000000000000e+01
2.470000000000000000e+02,5.000000000000000000e+01,8.154900000000000659e+01,7.000000000000000000e+01
2.480000000000000000e+02,5.000000000000000000e+01,8.167799999999999727e+01,7.000000000000000000e+01
2.490000000000000000e+02,5.000000000000000000e+01,8.177400000000000091e+01,7.000000000000000000e+01
2.500000000000000000e+02,5.000000000000000000e+01,8.180700000000000216e+01,7.000000000000000000e+01
2.510000000000000000e+02,5.000000000000000000e+01,8.183899999999999864e+01,7.000000000000000000e+01
2.520000000000000000e+02,5.000000000000000000e+01,8.200000000000000000e+01,7.000000000000000000e+01
2.530000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.540000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.550000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.560000000000000000e+02,5.000000000000000000e+01,8.216100000000000136e+01,7.000000000000000000e+01
2.570000000000000000e+02,5.000000000000000000e+01,8.232200000000000273e+01,7.000000000000000000e+01
2.580000000000000000e+02,5.000000000000000000e+01,8.232200000000000273e+01,7.000000000000000000e+01
2.590000000000000000e+02,5.000000000000000000e+01,8.225799999999999557e+01,7.000000000000000000e+01
2.600000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.610000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.620000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.630000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.640000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.650000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.660000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.670000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.680000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.690000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.700000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.710000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.720000000000000000e+02,5.000000000000000000e+01,8.212900000000000489e+01,7.000000000000000000e+01
2.730000000000000000e+02,5.000000000000000000e+01,8.216100000000000136e+01,7.000000000000000000e+01
2.740000000000000000e+02,5.000000000000000000e+01,8.225799999999999557e+01,7.000000000000000000e+01
2.750000000000000000e+02,5.000000000000000000e+01,8.238700000000000045e+01,7.000000000000000000e+01
2.760000000000000000e+02,5.000000000000000000e+01,8.245099999999999341e+01,7.000000000000000000e+01
2.770000000000000000e+02,5.000000000000000000e+01,8.245099999999999341e+01,7.000000000000000000e+01
2.780000000000000000e+02,5.000000000000000000e+01,8.245099999999999341e+01,7.000000000000000000e+01
2.790000000000000000e+02,5.000000000000000000e+01,8.245099999999999341e+01,7.000000000000000000e+01
2.800000000000000000e+02,5.000000000000000000e+01,8.245099999999999341e+01,7.000000000000000000e+01
2.810000000000000000e+02,5.000000000000000000e+01,8.245099999999999341e+01,7.000000000000000000e+01
2.820000000000000000e+02,5.000000000000000000e+01,8.245099999999999341e+01,7.000000000000000000e+01
2.830000000000000000e+02,5.000000000000000000e+01,8.254800000000000182e+01,7.000000000000000000e+01
2.840000000000000000e+02,5.000000000000000000e+01,8.277299999999999613e+01,7.000000000000000000e+01
2.850000000000000000e+02,5.000000000000000000e+01,8.277299999999999613e+01,7.000000000000000000e+01
2.860000000000000000e+02,5.000000000000000000e+01,8.277299999999999613e+01,7.000000000000000000e+01
2.870000000000000000e+02,5.000000000000000000e+01,8.309600000000000364e+01,7.000000000000000000e+01
