t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
1.900000000000000000e+01,5.000000000000000000e+01,2.218799999999999883e+01,5.000000000000000000e+01,1.432693250342015290e+02,-1.686248403329817052e+02,7.535551529878017618e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,2.218799999999999883e+01,5.000000000000000000e+01,1.432693250342015290e+02,-1.657374406853843141e+02,7.246811565118278509e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000001421e+01,2.228399999999999892e+01,5.000000000000000000e+01,1.432693250342015290e+02,-1.629606776208145789e+02,6.969135258661306409e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,4.999999999999998579e+01,2.238100000000000023e+01,5.000000000000000000e+01,1.430183972227134745e+02,-1.597712585038556767e+02,6.675286128114218798e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000001421e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.427648555798557481e+02,-1.566890268446471737e+02,6.392417126479143974e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000711e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.424276713331686608e+02,-1.535421643996848786e+02,6.111449306651622493e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+01,4.999999999999999289e+01,2.276800000000000068e+01,5.000000000000000000e+01,1.424276713331686608e+02,-1.512004384484563673e+02,5.877276711528769937e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,4.999999999999998579e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.417533028397945145e+02,-1.475534845522410592e+02,5.580018171244653047e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000711e+01,2.283200000000000074e+01,5.000000000000000000e+01,1.415860176321358210e+02,-1.450693516561655372e+02,5.348333402402972325e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,4.999999999999998579e+01,2.302499999999999858e+01,5.000000000000000000e+01,1.415860176321358210e+02,-1.430200290657616620e+02,5.143401143362582673e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.900000000000000000e+01,4.999999999999998579e+01,2.315399999999999991e+01,5.000000000000000000e+01,1.410815481777900402e+02,-1.400057168875357547e+02,4.892416870974570031e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,4.999999999999998579e+01,2.318700000000000117e+01,5.000000000000000000e+01,1.407443639311029528e+02,-1.374336100118197805e+02,4.668924608071681348e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000711e+01,2.347700000000000031e+01,5.000000000000000000e+01,1.406581074959039483e+02,-1.354661921066966670e+02,4.480808461079272575e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.200000000000000000e+01,4.999999999999998579e+01,2.354100000000000037e+01,5.000000000000000000e+01,1.399000963987004127e+02,-1.321813055988216661e+02,4.228120920012123918e+01,0.000000000000000000e+00,1.000000000000000000e+00
