t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
6.670000000000000000e+02,4.574417254900850338e+01,7.697299999999999898e+01,5.000000000000000000e+01,-9.671176067770444196e-02,4.559393388840959460e+01,2.469504212766120976e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.680000000000000000e+02,4.608117094569455219e+01,7.697299999999999898e+01,5.000000000000000000e+01,7.057344698101852831e-02,4.559435911215526716e+01,4.162383865582693354e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.690000000000000000e+02,4.606564715010302535e+01,7.697299999999999898e+01,5.000000000000000000e+01,7.057344698101852831e-02,4.559478433590093971e+01,4.002893672210701692e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.700000000000000000e+02,4.605073447358660843e+01,7.697299999999999898e+01,5.000000000000000000e+01,7.057344698101852831e-02,4.559520955964661226e+01,3.849514669589800264e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.710000000000000000e+02,4.603640949987649833e+01,7.697299999999999898e+01,5.000000000000000000e+01,7.057344698101852831e-02,4.559563478339228482e+01,3.702012695031947631e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.720000000000000000e+02,4.602264970994578874e+01,7.697299999999999898e+01,5.000000000000000000e+01,7.057344698101852831e-02,4.559606000713795737e+01,3.560162558268178401e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.730000000000000000e+02,4.600943344762985987e+01,7.697299999999999898e+01,5.000000000000000000e+01,7.057344698101852831e-02,4.559648523088362992e+01,3.423747697652138600e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.740000000000000000e+02,4.599673988656400780e+01,7.697299999999999898e+01,5.000000000000000000e+01,7.057344698101852831e-02,4.559691045462930248e+01,3.292559849536883521e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000000e+02,4.598454899838800713e+01,7.700499999999999545e+01,5.000000000000000000e+01,7.057344698101852831e-02,4.559733567837497503e+01,3.166398730320172383e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.760000000000000000e+02,4.579931976328904852e+01,7.710200000000000387e+01,5.000000000000000000e+01,-1.306915684832438314e-02,4.559725693323688489e+01,2.151319869004900687e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.770000000000000000e+02,4.526500996744402272e+01,7.700499999999999545e+01,5.000000000000000000e+01,-2.666107997060699897e-01,4.559565053241990285e+01,-6.402976526981082883e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.780000000000000000e+02,4.579184482875967177e+01,7.710200000000000387e+01,5.000000000000000000e+01,-1.306915684832438314e-02,4.559557178728181270e+01,2.093421983261868902e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.790000000000000000e+02,4.525775688042537581e+01,7.716599999999999682e+01,5.000000000000000000e+01,-2.666107997060699897e-01,4.559396538646483066e+01,-6.959770633338008272e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000000e+02,4.491177373934914385e+01,7.723000000000000398e+01,5.000000000000000000e+01,-4.338960073647558091e-01,4.559135104788033033e+01,-2.456813011664263080e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.810000000000000000e+02,4.457152966114160364e+01,7.729500000000000171e+01,5.000000000000000000e+01,-6.011812150234787655e-01,4.558772877152831171e+01,-4.150178953632250312e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.820000000000000000e+02,4.423134356580249005e+01,7.729500000000000171e+01,5.000000000000000000e+01,-7.710802540518443271e-01,4.558308280838114968e+01,-5.806589885268127471e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.830000000000000000e+02,4.424894673136473955e+01,7.729500000000000171e+01,5.000000000000000000e+01,-7.710802540518443271e-01,4.557843684523398764e+01,-5.584098598174014327e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.840000000000000000e+02,4.426569737636310009e+01,7.729500000000000171e+01,5.000000000000000000e+01,-7.710802540518443271e-01,4.557379088208682560e+01,-5.370132516718822968e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.850000000000000000e+02,4.428162816685479442e+01,7.729500000000000171e+01,5.000000000000000000e+01,-7.710802540518443271e-01,4.556914491893966357e+01,-5.164364980330199417e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.860000000000000000e+02,4.429677051723073333e+01,7.729500000000000171e+01,5.000000000000000000e+01,-7.710802540518443271e-01,4.556449895579250153e+01,-4.966481845099205983e-01,0.000000000000000000e+00,0.000000000000000000e+00
