tm,DVm,PVm
9.300000000000000000e+01,1.000000000000000000e+00,1.562750000000001083e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.603249999999999120e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.603249999999999120e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.643499999999999406e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.683749999999999969e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.691749999999999088e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.740000000000002101e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.764250000000000540e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.764250000000000540e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.804500000000000826e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.844750000000001111e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.844750000000001111e-01
1.050000000000000000e+02,1.000000000000000000e+00,1.909250000000000114e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.925499999999996104e-01
1.070000000000000000e+02,1.000000000000000000e+00,1.925499999999996104e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.998000000000001164e-01
1.090000000000000000e+02,1.000000000000000000e+00,2.006000000000000283e-01
1.100000000000000000e+02,1.000000000000000000e+00,2.013999999999995794e-01
1.110000000000000000e+02,1.000000000000000000e+00,2.070499999999995677e-01
1.120000000000000000e+02,1.000000000000000000e+00,2.086500000000000854e-01
1.130000000000000000e+02,1.000000000000000000e+00,2.102750000000000452e-01
1.140000000000000000e+02,1.000000000000000000e+00,2.167000000000001703e-01
1.150000000000000000e+02,1.000000000000000000e+00,2.167000000000001703e-01
1.160000000000000000e+02,1.000000000000000000e+00,2.167000000000001703e-01
1.170000000000000000e+02,1.000000000000000000e+00,2.199249999999995653e-01
1.180000000000000000e+02,1.000000000000000000e+00,2.247749999999996418e-01
1.190000000000000000e+02,1.000000000000000000e+00,2.247749999999996418e-01
1.200000000000000000e+02,1.000000000000000000e+00,2.312250000000002359e-01
1.210000000000000000e+02,1.000000000000000000e+00,2.328250000000000597e-01
1.220000000000000000e+02,1.000000000000000000e+00,2.328250000000000597e-01
1.230000000000000000e+02,1.000000000000000000e+00,2.352499999999995706e-01
1.240000000000000000e+02,1.000000000000000000e+00,2.408750000000001168e-01
1.250000000000000000e+02,1.000000000000000000e+00,2.408750000000001168e-01
1.260000000000000000e+02,1.000000000000000000e+00,2.440999999999995396e-01
1.270000000000000000e+02,1.000000000000000000e+00,2.489499999999996160e-01
1.280000000000000000e+02,1.000000000000000000e+00,2.489499999999996160e-01
1.290000000000000000e+02,1.000000000000000000e+00,2.489499999999996160e-01
1.300000000000000000e+02,1.000000000000000000e+00,2.553750000000000742e-01
1.310000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.320000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.330000000000000000e+02,1.000000000000000000e+00,2.594000000000001305e-01
1.340000000000000000e+02,1.000000000000000000e+00,2.650500000000001188e-01
1.350000000000000000e+02,1.000000000000000000e+00,2.650500000000001188e-01
1.360000000000000000e+02,1.000000000000000000e+00,2.658499999999996422e-01
1.370000000000000000e+02,1.000000000000000000e+00,2.731000000000001759e-01
1.380000000000000000e+02,1.000000000000000000e+00,2.731000000000001759e-01
1.390000000000000000e+02,1.000000000000000000e+00,2.731000000000001759e-01
1.400000000000000000e+02,1.000000000000000000e+00,2.795500000000000762e-01
1.410000000000000000e+02,1.000000000000000000e+00,2.811749999999996197e-01
1.420000000000000000e+02,1.000000000000000000e+00,2.811749999999996197e-01
1.430000000000000000e+02,1.000000000000000000e+00,2.852000000000000091e-01
1.440000000000000000e+02,1.000000000000000000e+00,2.892250000000000654e-01
1.450000000000000000e+02,1.000000000000000000e+00,2.892250000000000654e-01
1.460000000000000000e+02,1.000000000000000000e+00,2.908249999999995561e-01
1.470000000000000000e+02,1.000000000000000000e+00,2.940500000000000336e-01
1.480000000000000000e+02,1.000000000000000000e+00,2.964750000000002106e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.972750000000001225e-01
1.500000000000000000e+02,1.000000000000000000e+00,2.972750000000001225e-01
1.510000000000000000e+02,1.000000000000000000e+00,3.013000000000001788e-01
1.520000000000000000e+02,1.000000000000000000e+00,3.053250000000001796e-01
1.530000000000000000e+02,1.000000000000000000e+00,3.053250000000001796e-01
1.540000000000000000e+02,1.000000000000000000e+00,3.053250000000001796e-01
1.550000000000000000e+02,1.000000000000000000e+00,3.117750000000000798e-01
1.560000000000000000e+02,1.000000000000000000e+00,3.134000000000000119e-01
1.570000000000000000e+02,1.000000000000000000e+00,3.134000000000000119e-01
1.580000000000000000e+02,1.000000000000000000e+00,3.150000000000002243e-01
1.590000000000000000e+02,1.000000000000000000e+00,3.166250000000001563e-01
1.600000000000000000e+02,1.000000000000000000e+00,3.214500000000001245e-01
1.610000000000000000e+02,1.000000000000000000e+00,3.214500000000001245e-01
1.620000000000000000e+02,1.000000000000000000e+00,3.214500000000001245e-01
1.630000000000000000e+02,1.000000000000000000e+00,3.214500000000001245e-01
1.640000000000000000e+02,1.000000000000000000e+00,3.271000000000000574e-01
1.650000000000000000e+02,1.000000000000000000e+00,3.295000000000001816e-01
1.660000000000000000e+02,1.000000000000000000e+00,3.295000000000001816e-01
1.670000000000000000e+02,1.000000000000000000e+00,3.295000000000001816e-01
1.680000000000000000e+02,1.000000000000000000e+00,3.303000000000000935e-01
1.690000000000000000e+02,1.000000000000000000e+00,3.359500000000000819e-01
1.700000000000000000e+02,1.000000000000000000e+00,3.375499999999995171e-01
1.710000000000000000e+02,1.000000000000000000e+00,3.375499999999995171e-01
1.720000000000000000e+02,1.000000000000000000e+00,3.375499999999995171e-01
1.730000000000000000e+02,1.000000000000000000e+00,3.416000000000000147e-01
1.740000000000000000e+02,1.000000000000000000e+00,3.456250000000000711e-01
1.750000000000000000e+02,1.000000000000000000e+00,3.456250000000000711e-01
1.760000000000000000e+02,1.000000000000000000e+00,3.456250000000000711e-01
1.770000000000000000e+02,1.000000000000000000e+00,3.464249999999996499e-01
1.780000000000000000e+02,1.000000000000000000e+00,3.504500000000000393e-01
1.790000000000000000e+02,1.000000000000000000e+00,3.536750000000001282e-01
1.800000000000000000e+02,1.000000000000000000e+00,3.536750000000001282e-01
1.810000000000000000e+02,1.000000000000000000e+00,3.536750000000001282e-01
1.820000000000000000e+02,1.000000000000000000e+00,3.536750000000001282e-01
1.830000000000000000e+02,1.000000000000000000e+00,3.536750000000001282e-01
1.840000000000000000e+02,1.000000000000000000e+00,3.585000000000000964e-01
1.850000000000000000e+02,1.000000000000000000e+00,3.601250000000000284e-01
1.860000000000000000e+02,1.000000000000000000e+00,3.617250000000001853e-01
1.870000000000000000e+02,1.000000000000000000e+00,3.617250000000001853e-01
