t,MV,PV,DV,MVP,MVI,MVD,MVFF,Man
6.980000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.494938958386539696e+01,-8.090806943124565498e-01,0.000000000000000000e+00,1.000000000000000000e+00
6.990000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.491838801347770982e+01,-7.780791239247685231e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.488857433123672536e+01,-7.482654416837869471e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.010000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.485990302079500935e+01,-7.195941312420675029e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.020000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.483233030985642387e+01,-6.920214203034811273e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.030000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.480581410334928449e+01,-6.655052137963449743e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.040000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.478031391916010051e+01,-6.400050296071606581e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.050000000000000000e+02,5.000000000000000000e+01,7.855200000000000671e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.475579082632978611e+01,-6.154819367768448179e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.060000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.056666285723595777e+00,5.455918959562189485e+01,-5.025233098983021840e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.070000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.471295218416189243e+01,-5.726432946089490272e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.080000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.469101019304820710e+01,-5.507013034952653596e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.090000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.466990895389750449e+01,-5.296000643445673006e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.100000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.464961625159040892e+01,-5.093073620374700683e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.110000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.463010110539526920e+01,-4.897922158423308470e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.120000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.461133372167011402e+01,-4.710248321171746078e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.130000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.459328544837688213e+01,-4.529765588239421104e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.140000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.457592873133855704e+01,-4.356198417856167460e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.150000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.455923707217238672e+01,-4.189281826194484748e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.160000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.454318498783499081e+01,-4.028760982820517311e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.170000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.452774797171755949e+01,-3.874390821646152006e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.180000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.451290245623177100e+01,-3.725935666788273704e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.190000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.449862577682934273e+01,-3.583168872763986545e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.200000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.448489613740019166e+01,-3.445872478472484235e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.210000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.447169257699647460e+01,-3.313836874435309721e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.220000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.445899493783164047e+01,-3.186860482786978421e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.230000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.444678383450568049e+01,-3.064749449527411351e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.240000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.443504062440957370e+01,-2.947317348566342310e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.250000000000000000e+02,5.000000000000000000e+01,7.864799999999999613e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.442374737926373029e+01,-2.834384897107863899e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.260000000000000000e+02,5.000000000000000000e+01,7.858400000000000318e+01,5.000000000000000000e+01,-4.307594097211624451e+00,5.475892243773927248e+01,-4.513283405276481974e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.270000000000000000e+02,5.000000000000000000e+01,7.864799999999999613e+01,5.000000000000000000e+01,-4.140308889552938965e+00,5.439559329554092670e+01,-2.552844059879849081e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.280000000000000000e+02,5.000000000000000000e+01,7.861599999999999966e+01,5.000000000000000000e+01,-4.307594097211624451e+00,5.473184713492716469e+01,-4.242530377155382393e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.290000000000000000e+02,5.000000000000000000e+01,7.861599999999999966e+01,5.000000000000000000e+01,-4.223951493382281264e+00,5.454257322795358931e+01,-3.186217345713074356e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.300000000000000000e+02,5.000000000000000000e+01,7.868099999999999739e+01,5.000000000000000000e+01,-4.223951493382281264e+00,5.453036458893797800e+01,-3.064130955556977343e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.310000000000000000e+02,5.000000000000000000e+01,7.881000000000000227e+01,5.000000000000000000e+01,-4.393850532410646714e+00,5.487006613465683813e+01,-4.762156022461957461e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.320000000000000000e+02,5.000000000000000000e+01,7.877700000000000102e+01,5.000000000000000000e+01,-4.731034779097735843e+00,5.554929693238349842e+01,-8.182621532857636826e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.330000000000000000e+02,5.000000000000000000e+01,7.887399999999999523e+01,5.000000000000000000e+01,-4.644778343898712691e+00,5.533951895981027747e+01,-6.947406159115663282e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.340000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,5.000000000000000000e+01,-4.898319986756421329e+00,5.583735873772539549e+01,-9.390387509689792633e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.350000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,5.000000000000000000e+01,-4.981962590585801820e+00,5.597439535039335112e+01,-9.924327598075494139e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.360000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,5.000000000000000000e+01,-4.981962590585801820e+00,5.593636827315062021e+01,-9.544056825648196130e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.370000000000000000e+02,5.000000000000000000e+01,7.887399999999999523e+01,5.000000000000000000e+01,-4.981962590585801820e+00,5.589979828062152478e+01,-9.178356900357231840e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.380000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,5.000000000000000000e+01,-4.898319986756421329e+00,5.569161175164908428e+01,-7.932917648926677279e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.390000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,5.000000000000000000e+01,-4.981962590585801820e+00,5.583423295616233162e+01,-8.522703655765269115e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.400000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,5.000000000000000000e+01,-4.981962590585801820e+00,5.580157648578367002e+01,-8.196138951978657605e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.410000000000000000e+02,5.000000000000000000e+01,7.884199999999999875e+01,5.000000000000000000e+01,-4.981962590585801820e+00,5.577017131440666731e+01,-7.882087238208670410e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.420000000000000000e+02,5.000000000000000000e+01,7.890600000000000591e+01,5.000000000000000000e+01,-4.814677382927078142e+00,5.539393391597581484e+01,-5.792565330487360331e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.430000000000000000e+02,5.000000000000000000e+01,7.877700000000000102e+01,5.000000000000000000e+01,-4.981962590585801820e+00,5.571777410518937756e+01,-7.358115146035761889e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.440000000000000000e+02,5.000000000000000000e+01,7.884199999999999875e+01,5.000000000000000000e+01,-4.644778343898712691e+00,5.499210202634090194e+01,-3.473236824421849778e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.450000000000000000e+02,5.000000000000000000e+01,7.884199999999999875e+01,5.000000000000000000e+01,-4.814677382927078142e+00,5.533023599981650165e+01,-5.155586168894212840e-01,0.000000000000000000e+00,1.000000000000000000e+00
7.460000000000000000e+02,5.000000000000000000e+01,7.874500000000000455e+01,5.000000000000000000e+01,-4.814677382927078142e+00,5.531048132409276974e+01,-4.958039411656868789e-01,0.000000000000000000e+00,1.000000000000000000e+00
